actor_login,event_type,actor_url,num_events,total_events,num_events_pct,num_events_log,num_events_pct_log
GregoryZeng,WatchEvent,https://api.github.com/users/GregoryZeng,1,39977,2.5014383270380468e-05,0,-11
GriffinLiang,WatchEvent,https://api.github.com/users/GriffinLiang,1,39977,2.5014383270380468e-05,0,-11
Grillz,WatchEvent,https://api.github.com/users/Grillz,1,39977,2.5014383270380468e-05,0,-11
GrindstoneLZX,ForkEvent,https://api.github.com/users/GrindstoneLZX,1,39977,2.5014383270380468e-05,0,-11
GrindstoneLZX,IssueCommentEvent,https://api.github.com/users/GrindstoneLZX,3,39977,7.50431498111414e-05,1,-9
GrindstoneLZX,IssuesEvent,https://api.github.com/users/GrindstoneLZX,2,39977,5.0028766540760936e-05,1,-10
GrindstoneLZX,WatchEvent,https://api.github.com/users/GrindstoneLZX,1,39977,2.5014383270380468e-05,0,-11
GuanYQ0926,WatchEvent,https://api.github.com/users/GuanYQ0926,1,39977,2.5014383270380468e-05,0,-11
GuhongNie,ForkEvent,https://api.github.com/users/GuhongNie,1,39977,2.5014383270380468e-05,0,-11
Guikingone,WatchEvent,https://api.github.com/users/Guikingone,1,39977,2.5014383270380468e-05,0,-11
GuitarYourself,ForkEvent,https://api.github.com/users/GuitarYourself,1,39977,2.5014383270380468e-05,0,-11
Gum-Joe,WatchEvent,https://api.github.com/users/Gum-Joe,1,39977,2.5014383270380468e-05,0,-11
GunwantSaini,WatchEvent,https://api.github.com/users/GunwantSaini,1,39977,2.5014383270380468e-05,0,-11
GuodongTian,WatchEvent,https://api.github.com/users/GuodongTian,1,39977,2.5014383270380468e-05,0,-11
GuohongLi,ForkEvent,https://api.github.com/users/GuohongLi,1,39977,2.5014383270380468e-05,0,-11
GuohongLi,IssueCommentEvent,https://api.github.com/users/GuohongLi,2,39977,5.0028766540760936e-05,1,-10
GuohongLi,IssuesEvent,https://api.github.com/users/GuohongLi,4,39977,0.00010005753308152187,1,-9
Guojin118,ForkEvent,https://api.github.com/users/Guojin118,1,39977,2.5014383270380468e-05,0,-11
GuojunZhu,ForkEvent,https://api.github.com/users/GuojunZhu,1,39977,2.5014383270380468e-05,0,-11
Guokr1991,ForkEvent,https://api.github.com/users/Guokr1991,1,39977,2.5014383270380468e-05,0,-11
Guokr1991,WatchEvent,https://api.github.com/users/Guokr1991,1,39977,2.5014383270380468e-05,0,-11
